event_number,event_number_niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
MVCO_400,MVCO_400_00,2018-09-05 11:48:00,41.325,-70.5657,0,a,32.658,1.939,392.251,27.152,16.847,1,1
MVCO_401,MVCO_401_00,2018-09-17 15:15:00,41.325,-70.5657,0,a,35.463,3.148,425.941,44.099,11.264,1,1
MVCO_402,MVCO_402_00,2018-09-20 17:00:00,41.325,-70.5657,0,a,29.394,3.946,353.048,55.276,7.448,1,1
MVCO_403,MVCO_403_01,2018-10-08 18:00:00,41.325,-70.5657,14,a,37.926,5.061,455.522,70.886,7.494,1,1
MVCO_403,MVCO_403_02,2018-10-08 18:00:00,41.325,-70.5657,11.3,a,23.221,3.031,278.905,42.461,7.66,1,1
MVCO_403,MVCO_403_03,2018-10-08 18:00:00,41.325,-70.5657,7.5,a,22.567,2.898,271.041,40.59,7.787,1,1
MVCO_403,MVCO_403_04,2018-10-08 18:00:00,41.325,-70.5657,2,a,24.854,3.266,298.516,45.741,7.611,1,1
MVCO_404,MVCO_404_00,2018-10-31 16:15:00,41.325,-70.5657,0,a,31.803,3.577,381.971,50.107,8.89,1,1
MVCO_406,MVCO_406_01,2018-12-05 15:45:00,41.325,-70.5657,13,a,15.517,2.081,186.366,29.15,7.456,1,1
MVCO_406,MVCO_406_03,2018-12-05 15:45:00,41.325,-70.5657,6,a,17.711,2.384,212.721,33.386,7.43,3,3
MVCO_406,MVCO_406_04,2018-12-05 15:45:00,41.325,-70.5657,2,a,15.424,1.954,185.252,27.366,7.894,1,1
MVCO_407,MVCO_407_00,2018-12-20 18:11:00,41.325,-70.5657,0,a,17.924,1.645,215.28,23.039,10.897,1,1
MVCO_407,MVCO_407_00,2018-12-20 18:11:00,41.325,-70.5657,0,b,17.8,1.701,213.787,23.828,10.463,1,1
MVCO_408,MVCO_408_00,2019-01-18 16:00:00,41.325,-70.5657,0,a,34.757,3.867,417.45,54.168,8.987,1,1
MVCO_410,MVCO_410_00,2019-02-20 20:00:00,41.325,-70.5657,0,a,31.226,3.52,375.051,49.298,8.872,1,1
MVCO_411,MVCO_411_00,2019-03-09 20:00:00,41.325,-70.5657,0,a,26.817,2.074,322.093,29.05,12.93,1,1
MVCO_412,MVCO_412_00,2019-03-20 18:00:00,41.325,-70.5657,0,a,24.306,2.499,291.937,35.003,9.726,1,1
MVCO_413,MVCO_413_00,2019-04-02 18:00:00,41.325,-70.5657,0,a,38.307,5.046,460.098,70.681,7.591,1,1
MVCO_414,MVCO_414_00,2019-04-25 19:00:00,41.325,-70.5657,0,b,50.899,4.823,611.329,67.549,10.554,1,1
MVCO_414,MVCO_414_00,2019-04-25 19:00:00,41.325,-70.5657,0,a,NaN,NaN,NaN,NaN,NaN,1,1
MVCO_415,MVCO_415_00,2019-05-01 18:00:00,41.325,-70.5657,0,a,25.915,3.36,311.258,47.056,7.714,1,1
